connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,DOTUSDT,DOT-USDT,DOT,USDT,True,1,True,1.422,6151711.831,4262736.78,1.422,4748.1,1.423,3513.7,7.0298769771536875,4999.9951,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9841427155599604,0.8875123885034688,0.9940535183349851,96.19672943508424
mexc,USDFUSDT,USDF-USDT,USDF,USDT,True,1,True,0.9985,773280.3274,774658.58,0.9984,9616.02,0.9985,2436.82,1.0015524062306576,2433.1647700000003,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9355797819623389,0.9881070366699702,0.9905847373637264,95.97125867195244
mexc,PEPEUSDT,PEPE-USDT,PEPE,USDT,True,1,True,3.421e-06,15224933.198450739,4442208411287.0,3.422e-06,1738626486.0,3.425e-06,726621176.0,8.762961881115238,2488.6775278,1e-09,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9920713577799801,0.8592666005946481,0.9915758176412289,95.8771060455897
mexc,ZROUSDT,ZRO-USDT,ZRO,USDT,True,1,True,2.215,2169850.675,1036995.83,2.216,100.74,2.217,1609.43,4.511617414842725,223.23984000000002,0.001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9692765113974232,0.9291377601585729,0.9464816650148662,95.46828543111992
mexc,TONUSDT,TON-USDT,TON,USDT,True,1,True,1.32,2618840.944,2030000.19,1.321,19489.57,1.322,9547.78,7.567158531972092,12622.165160000002,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9727452923686819,0.8805748265609514,0.9960356788899901,95.4360753221011
mexc,ENAUSDT,ENA-USDT,ENA,USDT,True,1,True,0.09245,7595155.74594,79728639.97,0.09251,1599.41,0.09256,1599.41,5.403360890474779,147.9614191,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9881070366699702,0.9117938553022795,0.9127849355797819,95.39643211100099
mexc,ASTERUSDT,ASTER-USDT,ASTER,USDT,True,1,True,0.6595,2944329.3143,4420959.86,0.66,70638.42,0.6603,263.64,4.544421722335332,174.081492,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9757185332011893,0.9281466798810704,0.9261645193260654,95.39147670961349
mexc,BNBUSDT,BNB-USDT,BNB,USDT,True,1,True,636.5,49382553.37,77327.09,636.68,0.866,636.69,0.0712,0.1570635400567721,45.332328000000004,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9970267591674926,0.9985133795837463,0.7775024777006938,95.34935579781964
mexc,ATOMUSDT,ATOM-USDT,ATOM,USDT,True,1,True,1.784,1652782.229,926545.78,1.783,2949.21,1.784,323.96,5.6069526212509775,577.9446399999999,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9623389494549058,0.9073339940535183,0.9781962338949455,95.1759167492567
mexc,FILUSDT,FIL-USDT,FIL,USDT,True,1,True,0.9212,6925327.494,7751611.259,0.9221,118.697,0.9226,178.046,5.420935653493196,109.45050370000001,0.0001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9866204162537165,0.910802775024777,0.8835480673934589,94.70515361744303
mexc,OPUSDT,OP-USDT,OP,USDT,True,1,True,0.1132,2258818.7917,19549333.34,0.1132,23875.18,0.1133,18816.02,8.83002207505544,2131.855066,0.0001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9697720515361744,0.8572844400396432,0.9886025768087215,94.54162537165512
mexc,PENGUUSDT,PENGU-USDT,PENGU,USDT,True,1,True,0.006966,3960038.034512,567994233.82,0.00697,8000.0,0.006971,17220.8,1.4346173158311926,55.76,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9796828543111992,0.9801783944499505,0.8017839444995044,94.42269573835482
mexc,FDUSDUSDT,FDUSD-USDT,FDUSD,USDT,True,1,True,0.9996,414316.5947,414444.45,0.9996,441473.67,0.9997,280912.29,1.0003501225427798,280828.016313,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9013875123885035,0.9903369672943508,0.9985133795837463,94.3050049554014
mexc,CAKEUSDT,CAKE-USDT,CAKE,USDT,True,1,True,1.401,1137361.362,817908.49,1.402,1318.28,1.403,3553.1,7.1301247771844,1848.2285599999998,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9504459861248761,0.8865213082259663,0.9871159563924677,94.1798810703667
mexc,SAHARAUSDT,SAHARA-USDT,SAHARA,USDT,True,1,True,0.02624,2098275.23253,78642764.71,0.02624,8319.2,0.02626,12177.81,7.6190476190473095,218.29580800000002,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9677898909811695,0.8795837462834489,0.9449950445986125,94.11793855302281
mexc,ULTIMAUSDT,ULTIMA-USDT,ULTIMA,USDT,True,1,True,3964.5,527052.22,134.4744,3964.0,0.118,3964.86,0.2772,2.1692904150158463,467.75199999999995,0.01,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9167492566897919,0.9692765113974232,0.9707631318136769,94.06838453914767
