symbol,session,n_probes,n_miss,max_n,has_min_month_file,has_session_bars,has_regular_bars,prior_close,prior_adv,has_quote_month_file,daily_eligible,first_trade_et,category
AMOD,2025-08-27,10,2,60,1,1,1,1.07,246979.0,1,0,04:23,intra_session_sparse
AMPG,2025-08-27,10,0,148,1,1,1,3.18,2397669.0,1,1,05:54,intra_session_sparse
AMPH,2025-08-27,10,10,0,0,0,0,30.34,17555805.0,0,0,,no_minute_file
AMPL,2025-08-27,10,0,339,1,1,1,11.04,22503727.0,1,1,08:32,intra_session_sparse
AMPX,2025-08-27,10,0,371,1,1,1,7.81,58891289.0,1,1,04:00,intra_session_sparse
AMPY,2025-08-27,10,2,196,1,1,1,3.99,2445906.0,1,1,07:28,intra_session_sparse
AMRN,2025-08-27,10,0,55,1,1,1,15.54,1044774.0,1,0,09:30,intra_session_sparse
AMRX,2025-08-27,10,0,267,1,1,1,9.38,15082780.0,1,1,09:28,intra_session_sparse
AMST,2025-08-27,10,10,0,1,0,0,2.704,55476.0,1,0,,no_session_bars_has_month_file
AMTB,2025-08-27,10,10,0,1,0,0,21.37,3793090.0,1,0,,no_session_bars_has_month_file
AMTX,2025-08-27,10,1,217,1,1,1,2.64,1955256.0,1,0,06:14,intra_session_sparse
ANAB,2025-08-27,10,10,0,1,0,0,19.96,9913916.0,1,1,,no_session_bars_has_month_file
ANDG,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ANGH,2025-08-27,10,10,0,1,0,0,3.226,110866.0,1,0,,no_session_bars_has_month_file
ANGI,2025-08-27,10,0,233,1,1,1,17.31,14207786.0,1,1,09:30,intra_session_sparse
ANGO,2025-08-27,10,1,153,1,1,1,9.79,3365615.0,1,1,09:30,intra_session_sparse
ANGX,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ANIK,2025-08-27,10,2,116,1,1,1,9.33,1442285.0,1,0,09:30,intra_session_sparse
ANIX,2025-08-27,10,2,45,1,1,1,2.99,238257.0,1,0,09:30,intra_session_sparse
ANNA,2025-08-27,10,10,0,0,0,0,4.248,107648.0,0,0,,no_minute_file
ANNX,2025-08-27,10,0,354,1,1,1,2.15,2817501.0,1,1,06:21,intra_session_sparse
ANPA,2025-08-27,10,10,0,0,0,0,52.88,1629874.0,0,0,,no_minute_file
ANRO,2025-08-27,10,2,73,1,1,1,4.15,349558.0,1,0,08:09,intra_session_sparse
ANSC,2025-08-27,10,10,0,1,0,0,10.882,79969.0,1,0,,no_session_bars_has_month_file
ANTX,2025-08-27,10,10,0,0,0,0,1.15,100878.0,0,0,,no_minute_file
ANVS,2025-08-27,10,2,72,1,1,1,2.43,670287.0,1,0,09:03,intra_session_sparse
ANY,2025-08-27,10,2,97,1,1,1,5.989,621868.0,1,0,08:00,intra_session_sparse
AOMR,2025-08-27,10,2,157,1,1,1,9.77,2069170.0,1,1,08:42,intra_session_sparse
AOSL,2025-08-27,10,10,0,0,0,0,29.15,6270982.0,0,0,,no_minute_file
AP,2025-08-27,10,10,0,1,0,0,2.92,170626.0,1,0,,no_session_bars_has_month_file
APC,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
APLD,2025-08-27,10,0,376,1,1,1,16.47,520283491.0,1,1,04:00,intra_session_sparse
APLE,2025-08-27,10,0,361,1,1,1,12.73,38167439.0,1,1,06:56,intra_session_sparse
APLM,2025-08-27,10,10,0,1,0,0,6.2,81079.0,1,0,,no_session_bars_has_month_file
APM,2025-08-27,10,0,200,1,1,1,2.5,86984254.0,1,1,04:06,intra_session_sparse
APPN,2025-08-27,10,10,0,0,0,0,28.62,33734517.0,0,0,,no_minute_file
APPS,2025-08-27,10,0,335,1,1,1,4.27,20428473.0,1,1,05:59,intra_session_sparse
APVO,2025-08-27,10,10,0,0,0,0,33.3,285666.0,0,0,,no_minute_file
APXT,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AQB,2025-08-27,10,10,0,1,0,0,0.764,16576.0,1,0,,no_session_bars_has_month_file
AQMS,2025-08-27,10,2,16,1,1,1,3.88,204632.0,1,0,08:00,intra_session_sparse
AQN,2025-08-27,10,0,366,1,1,1,5.77,39056530.0,1,1,09:30,intra_session_sparse
AQST,2025-08-27,10,0,335,1,1,1,3.9,5452624.0,1,1,09:12,intra_session_sparse
ARAI,2025-08-27,10,0,122,1,1,1,5.47,1186748.0,1,0,07:00,intra_session_sparse
ARBB,2025-08-27,10,10,0,0,0,0,4.11,109594.0,0,0,,no_minute_file
ARBE,2025-08-27,10,0,301,1,1,1,1.38,1459912.0,1,0,04:02,intra_session_sparse
ARCC,2025-08-27,10,10,0,0,0,0,22.25,77064497.0,0,0,,no_minute_file
ARCO,2025-08-27,10,0,297,1,1,1,6.93,11359455.0,1,1,09:30,intra_session_sparse
ARCT,2025-08-27,10,0,176,1,1,1,17.54,11993792.0,1,1,08:00,intra_session_sparse
ARDT,2025-08-27,10,2,158,1,1,1,12.53,4910476.0,1,1,09:30,intra_session_sparse
ARDX,2025-08-27,10,0,372,1,1,1,6.2,24832701.0,1,1,05:01,intra_session_sparse
AREC,2025-08-27,10,0,366,1,1,1,2.1,6689571.0,1,1,04:02,intra_session_sparse
ARHS,2025-08-27,10,0,332,1,1,1,11.82,27924402.0,1,1,09:30,intra_session_sparse
ARI,2025-08-27,10,0,221,1,1,1,10.36,9022471.0,1,1,09:30,intra_session_sparse
ARIS,2025-08-27,10,0,347,1,1,1,7.95,11045933.0,1,1,07:42,intra_session_sparse
ARKO,2025-08-27,10,2,157,1,1,1,5.02,2507713.0,1,1,09:30,intra_session_sparse
ARLO,2025-08-27,10,0,321,1,1,1,17.23,30213672.0,1,1,08:12,intra_session_sparse
ARMP,2025-08-27,10,10,0,0,0,0,2.595,25256.0,0,0,,no_minute_file
ARQ,2025-08-27,10,0,220,1,1,1,7.35,2342492.0,1,1,09:30,intra_session_sparse
ARQQ,2025-08-27,10,10,0,0,0,0,31.57,12443596.0,0,0,,no_minute_file
ARQT,2025-08-27,10,0,327,1,1,1,15.83,27180993.0,1,1,08:05,intra_session_sparse
ARR,2025-08-27,10,0,349,1,1,1,15.14,76082651.0,1,1,04:26,intra_session_sparse
ARRY,2025-08-27,10,0,372,1,1,1,9.56,71092046.0,1,1,07:00,intra_session_sparse
ARTL,2025-08-27,10,10,0,0,0,0,27.09,1137609.0,0,0,,no_minute_file
ARTV,2025-08-27,10,2,73,1,1,1,2.84,202489.0,1,0,09:30,intra_session_sparse
ARVN,2025-08-27,10,1,335,1,1,1,7.54,13908501.0,1,1,09:30,intra_session_sparse
ARX,2025-08-27,10,10,0,0,0,0,29.23,24986476.0,0,0,,no_minute_file
ASAN,2025-08-27,10,0,368,1,1,1,14.04,48157581.0,1,1,06:08,intra_session_sparse
ASBP,2025-08-27,10,10,0,0,0,0,637.56,15902841.0,0,0,,no_minute_file
ASC,2025-08-27,10,0,211,1,1,1,11.44,6687506.0,1,1,08:00,intra_session_sparse
ASIC,2025-08-27,10,10,0,1,0,0,22.8,2523821.0,1,0,,no_session_bars_has_month_file
